id,company_id/id,codigo,parent_id/id,name,abreviatura
base_idu.hr_department_1,base.main_company,100,,RECTORIA,RECT
base_idu.hr_department_2,base.main_company,101,base_idu.hr_department_1,VICERRECTORIA ACADEMICA,VI
base_idu.hr_department_3,base.main_company,102,base_idu.hr_department_1,SECRETARIA GENERAL,SG
base_idu.hr_department_4,base.main_company,103,base_idu.hr_department_1,OFICINA ASESORA DE ASUNTOS DISCIPLINARIOS,OAAD
base_idu.hr_department_5,base.main_company,104,base_idu.hr_department_1,OFICINA ASESORA DE PLANEACION Y CONTROL,OAPC
base_idu.hr_department_6,base.main_company,105,base_idu.hr_department_1,VICERRECTORIA ADMINISTRATIVA Y FINANCIERA,VIAF
base_idu.hr_department_7,base.main_company,106,base_idu.hr_department_1,OFICINA ASESORA DE CONTROL INTERNO,OACI
base_idu.hr_department_8,base.main_company,107,base_idu.hr_department_1,CENTRO DE RELACIONES INTERINSTITUCIONALES,CRII
base_idu.hr_department_9,base.main_company,108,base_idu.hr_department_1,OFICINA ASESORA DE SISTEMAS,OAS
base_idu.hr_department_10,base.main_company,109,base_idu.hr_department_2,FACULTAD DE INGENIERIA,FAIN
base_idu.hr_department_11,base.main_company,110,base_idu.hr_department_10,ESPECIALIZACION EN INFORMATICA Y AUTOMATICA INDUSTRIAL,EIAI
base_idu.hr_department_12,base.main_company,111,base_idu.hr_department_10,ESPECIALIZACION EN INGENIERIA DE SOFTWARE,EISO
base_idu.hr_department_13,base.main_company,112,base_idu.hr_department_10,ESPECIALIZACION EN PROYECTOS INFORMATICOS,EPIN
base_idu.hr_department_14,base.main_company,113,base_idu.hr_department_10,MAESTRIA EN CIENCIAS DE LA INFORMACION Y LAS COMUNICACIONES,MCIC
base_idu.hr_department_15,base.main_company,114,base_idu.hr_department_10,MAESTRIA EN INGENIERIA INDUSTRIAL,MIIN
base_idu.hr_department_16,base.main_company,115,base_idu.hr_department_10,ESPECIALIZACION EN BIOINGENIERIA,ESBI
base_idu.hr_department_17,base.main_company,116,base_idu.hr_department_10,"ESPECIALIZACION EN HIGIENE, SEGURIDAD Y SALUD EN EL TRABAJO",EHSST
base_idu.hr_department_18,base.main_company,117,base_idu.hr_department_10,ESPECIALIZACION EN AVALUOS,ESAV
base_idu.hr_department_19,base.main_company,118,base_idu.hr_department_10,ESPECIALIZACION EN GESTION DE PROYECTOS DE INGENIERIA,EGPI
base_idu.hr_department_20,base.main_company,119,base_idu.hr_department_10,ESPECIALIZACION EN SISTEMAS DE INFORMACION GEOGRAFICA,ESIG
base_idu.hr_department_21,base.main_company,120,base_idu.hr_department_10,ESPECIALIZACION EN TELECOMUNICACIONES MOVILES,ETMO
base_idu.hr_department_22,base.main_company,121,base_idu.hr_department_10,ESPECIALIZACION EN TELEINFORMATICA,ESTE
base_idu.hr_department_23,base.main_company,122,base_idu.hr_department_10,INGENIERIA CATASTRAL Y GEODESIA – ICG,ICG
base_idu.hr_department_24,base.main_company,123,base_idu.hr_department_10,INGENIERIA DE SISTEMAS,INSI
base_idu.hr_department_25,base.main_company,124,base_idu.hr_department_10,INGENIERIA ELECTRICA,INEL
base_idu.hr_department_26,base.main_company,125,base_idu.hr_department_10,INGENIERIA ELECTRONICA,INET
base_idu.hr_department_27,base.main_company,126,base_idu.hr_department_10,INGENIERIA INDUSTRIAL,ININ
base_idu.hr_department_28,base.main_company,127,base_idu.hr_department_10,SECRETARIA ACADEMICA FACULTAD DE INGENIERIA,SAFI
base_idu.hr_department_29,base.main_company,128,base_idu.hr_department_10,UNIDAD DE EXTENSION FACULTAD DE INGENIERIA,UEFI
base_idu.hr_department_30,base.main_company,129,base_idu.hr_department_10,DOCTORADO EN INGENIERIA,DOIN
base_idu.hr_department_31,base.main_company,130,base_idu.hr_department_10,COORDINACION DE AUTOEVALUACION Y ACREDITACION FACULTAD DE INGENIERIA,CAAFI
