hallazgo_id,plan_id,auditor,name_hallazgo,capitulo,dependencia,descripcion,causa,efecto
1,1,slromerop,3.1.1.2.1,01 - AUDITORIA DE REGULARIDAD,OAPC,"Hallazgo administrativo, toda vez que la UDFJC no reportó la materialización de riesgos de corrupción en los informes de seguimiento durante la vigencia 2020.",Se encontraba en proceso de actualización el mapa integral de riesgos de la Universidad,
2,1,slromerop,3.1.3.2.2,01 - AUDITORIA DE REGULARIDAD,OAPC,"Hallazgo administrativo con presunta incidencia disciplinaria por la falta de planeación y análisis en los estudios y documentos previos, en la elaboración de la cláusula 2: “actividades específicas del contratista”, situación que generó que algunas obligaciones contractuales no se cumplieran, en ejecución de los contratos de prestación de servicio profesionales n° 844/2021, 998/2021, 1092/2021 y 1120/2021",Falta de planeación en la suscripción de los contratos,
3,1,slromerop,3.1.3.2.3,01 - AUDITORIA DE REGULARIDAD,OAPC,Hallazgo administrativo con presunta incidencia disciplinaria por falta de planeación al omitir la necesidad de suscribir el contrato de interventoría técnica a la ejecución del contrato interadministrativo de consultoría no. 1871 de 2019,"Falta de planeación, control, verificación y seguimiento al contrato 1871 de 2019 en la etapa inicial, al omitir en los estudios previos la necesidad de contratar la interventoría técnica, por lo cual, se generó la “Adición no.1 y modificación no.1, en la cláusula sexta – adicionar clausula trigésima tercera – interventoria: la interventoría técnica de este contrato estará a cargo del contratista que la Universidad Distrital designe para tal efecto.",
4,1,slromerop,3.1.3.2.4,01 - AUDITORIA DE REGULARIDAD,OAPC,"Hallazgo administrativo por la falta de planeación al adquirir equipos de cómputo, escáner, equipo robusto y mobiliario, sin tener certeza de la fecha en la cual se entregaría la sede el ensueño a la Universidad Distrital Francisco José de Caldas, contratos 1856 y 1774 de 2019 y 1643 de 2020.","Falta de planeación al adquirir bienes, sin tener certeza de la fecha en la cual se realizaría la entrega de la sede el ensueño a la Universidad distrital francisco josé de caldas, considerando que el contrato de obra ya había generado incumplimientos en el cronograma de ejecución inicial.",
5,1,slromerop,3.1.3.2.5,01 - AUDITORIA DE REGULARIDAD,OAJ,"Hallazgo administrativo presunta incidencia disciplinaria por falta de publicación en el SECOP i y ii de los algunos documentos correspondientes a los contratos 1856 y 1774 de 2019, 909-1 y 1643 de 2020 y 438, 439, 441, 444 y por publicación inoportuna documentos contrato 791 de 2021.","Falta de publicación y seguimiento de algunos documentos contractuales en SECOP, de conformidad con la resolución 058 de 2018 y 008 de 2021.",
6,1,slromerop,3.2.1.2.1,01 - AUDITORIA DE REGULARIDAD,OAPC,"Hallazgo administrativo con presunta incidencia disciplinaria por incumplimiento de las metas 2 y 3 del proyecto de inversión 7897, lo que conlleva a una gestión ineficiente en el manejo del presupuesto","Falta de diligencia frente a las actividades programadas, indebida planeación, gestión inoportuna, ineficiencia en el seguimiento y control y Falta de interacción entre las diferentes áreas, lo que conllevó a que no se cumpliera con las metas propuestas",
7,1,slromerop,3.2.1.2.2,01 - AUDITORIA DE REGULARIDAD,OAPC,Hallazgo administrativo con presunta incidencia disciplinaria por el no cumplimiento de lo programado en la meta (s)3 “estructurar 2 proyectos de nueva infraestructura educativa del proyecto de inversión 7896 “fortalecimiento y ampliación de la planta física de la Universidad Francisco José de Caldas” en la vigencia 2021.,"No cumplimiento de avance en la meta s3, por realizar la contratación de un proyecto conexo al objetivo, que podía ser enmarcado en otra meta y por realizar la suscripción del contrato a un día del cierre de la vigencia, lo cual, no permitió iniciar su ejecución en la misma vigencia, y con esto reportar su avance.",
8,1,slromerop,3.2.1.2.3,01 - AUDITORIA DE REGULARIDAD,OAPC,"Hallazgo administrativo con presunta incidencia disciplinaria por la falta de planeación, seguimiento y control en la ejecución oportuna de los recursos asignados, generando incertidumbre en la valoración de las cifras reportadas, situaciones que afectan la confiabilidad y calidad de la información suministrada, en el cumplimiento de las seis (6) metas formuladas del proyecto de inversión 7866, en la vigencia 2021",Ineficiente  ejecución en los recursos de inversión por parte de los gestores. 2) inadecuado control en el seguimiento a los recursos de inversión y actividades y de la información reportada.,
9,1,slromerop,3.2.2.2.1,01 - AUDITORIA DE REGULARIDAD,CIDC,"Hallazgo administrativo con presunta incidencia disciplinaria, por incumplimiento de las actividades del paca según programación del plan de acción cuatrienal ambiental del distrito capital paca 2020-2024 y por las deficiencias en planeación en la asignación de recursos.",Incumplimiento de las actividades del paca según programación del plan de acción cuatrienal ambiental del distrito capital paca 2020-2024 y por las deficiencias en planeación en la asignación de recursos,
10,1,slromerop,3.3.1.2.1,01 - AUDITORIA DE REGULARIDAD,TGE,"Hallazgo administrativo con presunta incidencia disciplinaria por inconsistencia en las cifras reportadas en los saldos de las cuentas corrientes y de ahorro de la Universidad Distrital Francisco José de Caldas - UDFJC y partidas pendientes por conciliar y depurar por un valor total de $370.142.453 que se vienen acumulando desde vigencias 2015, 2016, 2017, 2018, 2019, 2020 y 2021","Hallazgo administrativo con presunta incidencia disciplinaria por inconsistencia en las cifras reportadas en los saldos de las cuentas corrientes y de ahorro de la Universidad distrital francisco josé de caldas - UDFJC y partidas pendientes por conciliar y depurar por un valor total de $370.142.453 que se vienen acumulando desde vigencias 2015, 2016, 2017, 2018, 2019, 2020 y 2021.",
