hallazgo_id,plan_id,auditor,name_hallazgo,capitulo,dependencia,descripcion,causa,efecto
1,1,slromerop,3.2.1.1,02 - AUDITORIA DE DESEMPEÑO,IDEXUD,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR DEFICIENCIAS EN LA PLANEACIÓN, EJECUCIÓN Y SUPERVISIÓN DEL CONVENIO INTERADMINISTRATIVO NO. 477/2021 EJECUTADO A TRAVÉS DEL IDEXUD – UDFJC.","NO SE LOGRÓ ESTABLECER DE MANERA ADECUADA LA JUSTIFICACIÓN DEL VALOR DE LOS HONORARIOS RECONOCIDOS A LOS CONTRATISTAS EN EL MARCO DEL PROYECTO 477-2021, EN CONCORDANCIA CON LAS CONDICIONES ESPECÍFICAS, ESPECIALES Y COMPLEJAS DEL PROYECTO.",
2,1,slromerop,3.2.1.2,02 - AUDITORIA DE DESEMPEÑO,IDEXUD,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR DEFICIENCIAS EN LA PLANEACIÓN, EJECUCIÓN Y SUPERVISIÓN DEL CONVENIO INTERADMINISTRATIVO NO. 477/2021 EJECUTADO A TRAVÉS DEL IDEXUD – UDFJC.","LA VINCULACIÓN DE NUEVOS DOCENTES DE CARRERA QUE PARTICIPAN VOLUNTARIAMENTE EN LA SUPERVISIÓN DE PROYECTOS DE EXTENSIÓN, SIN UN ENFOQUE ESPECÍFICO, HA GENERADO DISCREPANCIAS EN LA CALIDAD Y ENFOQUE DE LA SUPERVISIÓN ENTRE DISTINTOS PROYECTOS.",
3,1,slromerop,3.2.1.3,02 - AUDITORIA DE DESEMPEÑO,IDEXUD,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA AL APROBAR, RECONOCER Y PAGAR ACTIVIDADES DEL COMPONENTE TRANSVERSAL Y COMPONENTE 1 DEL PLAN DE TRABAJO Y CRONOGRAMA DE ACTIVIDADES, DEL CONVENIO INTERADMINISTRATIVO NO. PCCNTR.2750267, TODA VEZ QUE LAS ACTIVIDADES FUERON REALIZADAS EL 01/09/2021, PESE A QUE LA SUSCRIPCIÓN DE LOS CPS PARA LOS PROFESIONALES QUE DESARROLLARON DICHAS ACTIVIDADES, FUERON SUSCRITAS ENTRE 9 Y 12 DÍAS POSTERIORES A LAS ACTIVIDADES DESARROLLADAS;","LA VINCULACIÓN DE NUEVOS DOCENTES DE CARRERA QUE PARTICIPAN VOLUNTARIAMENTE EN LA SUPERVISIÓN DE PROYECTOS DE EXTENSIÓN, SIN UN ENFOQUE ESPECÍFICO, HA GENERADO DISCREPANCIAS EN LA CALIDAD Y ENFOQUE DE LA SUPERVISIÓN ENTRE DISTINTOS PROYECTOS.",
4,1,slromerop,4.3.1.1,02 - AUDITORIA DE DESEMPEÑO,IDEXUD,"HALLAZGO ADMINISTRATIVO POR INCONCIENCIAS EN LOS CONTRATOS DE PRESTACIÓN DE SERVICIOS 1096I Y 1098I DEL 10/09/2021, DERIVADOS DEL CONVENIO INTERADMINISTRATIVO NO. CO1.PCCNTR.275026, EN CONSIDERACIÓN A QUE EN LA CLÁUSULA 3 -VALOR DEL CONTRATO- SE DETERMINÓ QUE EL VALOR DEL CONTRATO CORRESPONDE A VEINTE Y OCHO MILLONES OCHOCIENTOS MIL PESOS M/CTE. ($28.800.000), NO OBSTANTE, EN LA CLÁUSULA 4 -FORMA DE PAGO-, SE ESTABLECIERON TRES PAGOS POR LOS SIGUIENTES VALORES:","DEPENDENCIA DE VERIFICACIÓN MANUAL PARA VERIFICAR LA COHERENCIA ENTRE LA FORMA DE PAGO Y EL VALOR ESTIPULADO EN LOS CONTRATOS. LA FALTA DE SOLUCIONES  TECNOLÓGICAS HA PERMITIDO LA POSIBILIDAD DE ERRORES HUMANOS DURANTE LA TRANSCRIPCIÓN DE VALORES, LO QUE A SU VEZ PUEDE LLEVAR A DISCREPANCIAS EN LOS TÉRMINOS CONTRACTUALES Y EN LOS PAGOS CORRESPONDIENTES.",
5,1,slromerop,4.3.1.2,02 - AUDITORIA DE DESEMPEÑO,ODO,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA Y FISCAL EN CUANTÍA DE $7.973.830, POR INCONSISTENCIAS EN LA ASIGNACIÓN DE PUNTOS SALARIALES POR PRODUCCIÓN ACADÉMICA AL DOCENTE CAGU, ORIGINADA EN UN ERROR POR PARTE DEL COMITÉ CONJUNTO DE ASIGNACIÓN Y RECONOCIMIENTO DE PUNTAJE Y DE PERSONAL DOCENTE, SIN TENER EN CUENTA QUE YA SE LE HABÍAN ASIGNADO PUNTOS POR LA MISMA PUBLICACIÓN",ASIGNACIÓN DE PUNTAJE ERRÓNEA A LA PRODUCTIVIDAD ACADÉMICA DE UN DOCENTE POR FALENCIAS EN LAS VALIDACIONES REALIZADAS,
6,2,slromerop,3.3.1.2,02 - AUDITORIA DE DESEMPEÑO,DRFC,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR GESTIÓN INEFICAZ E INEFICIENTE, DEFICIENTE PLANEACIÓN, CONTROL Y SUPERVISIÓN DEL CONTRATO DE OBRA 1850 DE 2021, SUSCRITO ENTRE LA UDFJC Y EL CONSORCIO A&C, Y DEL CONTRATO DE INTERVENTORÍA 1851 DE 2021, SUSCRITO ENTRE LA UDFJC Y EL CONSORCIO INTERVENTORES GAL 18.","FALTA DE PLANEACIÓN E INEXISTENCIA DE ANÁLISIS DE ESTUDIOS Y DOCUMENTOS PREVIOS DEBIDAMENTE ESTRUCTURADOS, PARA REALIZAR LAS DIFERENTES INTERVENCIONES EN LOS TIEMPOS ESTABLECIDOS EN CADA UNA DE LAS SEDES, ASÍ COMO, LA GESTIÓN INEFICAZ E INEFICIENTE, OCASIONARON RETRASOS DE OBRA, GENERANDO (4) PRÓRROGAS Y (1) SUSPENSIÓN, EN EJECUCIÓN DEL CONTRATO DE OBRA 1850 DE 2021Y LA NO LIQUIDACION DEL MISMO.",
7,2,slromerop,3.3.1.3,02 - AUDITORIA DE DESEMPEÑO,DRFC,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR LA PUBLICACIÓN EXTEMPORÁNEA Y/O NO PUBLICACIÓN DE LOS SOPORTES CONTRACTUALES DEL CONTRATO DE ARRENDAMIENTO 850 DE 2022, EN EL SISTEMA ELECTRÓNICO DE CONTRATACIÓN PÚBLICA – SECOP II.",FALTA DE SEGUIMIENTO POR PARTE DE LA SUPERVISION DEL CONTRATO  Y DEPENDENCIAS ENCARGADAS AL NO PUBLICAR Y/O PUBLICACION EXTEMPORANEA DE DOCUMENTOS DEL CONTRATO 750 DEL 2022 A LA PLATAFORMA DEL SECOP II.,
8,2,slromerop,3.3.1.4,02 - AUDITORIA DE DESEMPEÑO,DRFC,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR GESTIÓN INEFICAZ E INOBSERVANCIA DEL CONTROL DE SUPERVISIÓN DEL CONTRATO DE ARRENDAMIENTO 791 DE 2021, AL NO VALIDAR DE FORMA ACUCIOSA LOS DOCUMENTOS SOPORTE PARA EL PAGO EN LOS CONCERNIENTE AL CERTIFICADO DE PAGO AL SISTEMA GENERAL DE SEGURIDAD SOCIAL – SGSS.","FALTA DE SEGUIMIENTO POR PARTE DE LA SUPERVISION DEL CONTRATO 791 DEL 2021  Y DEPENDENCIAS ENCARGADAS AL NO REALIZAR LA REVISION ACUCIOSAMENTEDE LA DOCUMENTACION Y/O SOPORTES DE APORTES AL SISTEMA GENERAL DE SEGURIDAD SOCIAL - SGSS, ACORDE A LO DISPUESTO EN LA LEY 828 DE 2003.",
9,2,slromerop,3.3.1.5,02 - AUDITORIA DE DESEMPEÑO,DRFC,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR INOBSERVANCIA DEL PRINCIPIO DE PLANEACIÓN Y DEFICIENCIAS DE ESTUDIOS PREVIOS Y DE NECESIDAD Y POR FALTA DE REVISIÓN Y SEGUIMIENTO A LAS ACTIVIDADES EJECUTADAS EN EL CONTRATO N.º 1383 DE 2022, QUE OBLIGARON A LA SUSPENSIÓN Y POSTERIOR ADICIÓN Y PRÓRROGA DEL MISMO.","FALTA DE PLANEACIÓN Y  ANÁLISIS DEL CONTRATO 1383 DE 2022, PUESTO QUE LAS ACTIVIDADES DE MANTENIMIENTO PLANEADAS INICIALMENTE DESBORDARON LAS DIMENSIONES A REALIZAR, SITUACIÓN QUE SE GENERÓ PORQUE LOS ESTUDIOS PREVIOS NO CUMPLIERON CON EL RIGOR TÉCNICO EN SU DIAGNÓSTICO, AL NO HABER PERMITIDO SABER CON CERTEZA QUE OBRAS SE REQUERÍAN PARA CONJURAR EL PROBLEMA EN CADA UNA DE LAS SEDES Y SU COSTES POR LO CUAL SE GENERO UNA ADICION DEL 50% DEL VALOR DEL CONTRATO Y 4 MESES MAS.",
10,2,slromerop,3.3.1.6,02 - AUDITORIA DE DESEMPEÑO,DRFC,HALLAZGO ADMINISTRATIVO POR INCONSISTENCIAS EN LA INFORMACIÓN CONSIGNADA EN EL DOCUMENTO DE CESIÓN DEL CONTRATO DE INTERVENTORÍA N.° 1559 DE 2022.,"TENIENDO EN CUENTA QUE LA ELABORACION DE LA CESION FUE TOTALMENTE MANUAL, FUE UN ERROR NETAMENTE HUMANO AL MOMENTO DE TRASCRIBIR LA INFORMACION CORRESPONDIENTE.",
